sample,fastq_1,fastq_2,strandedness
pMEF_WT_control_210min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2496_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2496_R2.fq.gz,unstranded
pMEF_WT_control_60min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2497_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2497_R2.fq.gz,unstranded
pMEF_WT_control_180min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2498_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2498_R2.fq.gz,unstranded
pMEF_WT_control_120min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2499_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2499_R2.fq.gz,unstranded
pMEF_WT_control_150min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2500_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2500_R2.fq.gz,unstranded
pMEF_WT_control_240min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2501_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2501_R2.fq.gz,unstranded
pMEF_WT_control_270min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2502_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2502_R2.fq.gz,unstranded
pMEF_WT_control_30min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2503_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2503_R2.fq.gz,unstranded
pMEF_KO_firre_induced_120min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2504_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2504_R2.fq.gz,unstranded
pMEF_KO_firre_induced_330min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2505_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2505_R2.fq.gz,unstranded
pMEF_KO_firre_induced_180min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2506_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2506_R2.fq.gz,unstranded
pMEF_KO_firre_induced_270min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2507_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2507_R2.fq.gz,unstranded
pMEF_KO_firre_induced_240min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2508_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2508_R2.fq.gz,unstranded
pMEF_KO_firre_induced_150min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2509_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2509_R2.fq.gz,unstranded
pMEF_KO_firre_induced_210min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2510_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2510_R2.fq.gz,unstranded
pMEF_KO_firre_induced_300min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2511_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2511_R2.fq.gz,unstranded
pMEF_KO_firre_induced_90min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2512_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2512_R2.fq.gz,unstranded
pMEF_KO_firre_induced_60min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2513_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2513_R2.fq.gz,unstranded
pMEF_KO_firre_induced_30min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2514_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2514_R2.fq.gz,unstranded
pMEF_KO_firre_induced_0min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2515_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2515_R2.fq.gz,unstranded
ESC_WT_control_240min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2516_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2516_R2.fq.gz,unstranded
ESC_WT_control_270min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2517_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2517_R2.fq.gz,unstranded
ESC_WT_control_90min_dox_short_rep2,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2518_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2518_R2.fq.gz,unstranded
ESC_WT_control_60min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2519_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2519_R2.fq.gz,unstranded
ESC_WT_control_0min_dox_short_rep2,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2520_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2520_R2.fq.gz,unstranded
ESC_WT_control_120min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2521_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2521_R2.fq.gz,unstranded
ESC_WT_control_180min_dox_short_rep2,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2522_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2522_R2.fq.gz,unstranded
ESC_WT_control_270min_dox_short_rep2,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2523_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2523_R2.fq.gz,unstranded
