sample_id,cell_type,firre_ko,firre_induced,timepoint,replicate,experiment_replicate,timecourse_length,date_sequenced,sample_name,raw_data_read1,raw_data_read2,raw_data_read1_file_name,raw_data_read2_file_name,md5_read1,md5_read2
JR2437,ESC,KO,firre_induced,0,2,1,short,2019-03,JR2437_ESC_KO_firre_induced_0_rep2,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2437_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2437_read2.fastq.gz,JR2437_read1.fastq.gz,JR2437_read2.fastq.gz,759a1cbd4160943ec9d25ad46d61b581,c3c1daf18f08836b41bb444f23e82ce1
JR2438,ESC,KO,firre_induced,60,2,1,short,2019-03,JR2438_ESC_KO_firre_induced_60_rep2,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2438_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2438_read2.fastq.gz,JR2438_read1.fastq.gz,JR2438_read2.fastq.gz,ae861097198a02e291ec6a809961d70a,85d504c71d3d6d36d0e48dc20bc147d8
JR2439,ESC,KO,firre_induced,120,2,1,short,2019-03,JR2439_ESC_KO_firre_induced_120_rep2,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2439_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2439_read2.fastq.gz,JR2439_read1.fastq.gz,JR2439_read2.fastq.gz,f003c38594b273a672eabe32f490db48,4467f4317b41e0320d48f9a219041c4d
JR2440,ESC,KO,firre_induced,30,2,1,short,2019-03,JR2440_ESC_KO_firre_induced_30_rep2,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2440_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2440_read2.fastq.gz,JR2440_read1.fastq.gz,JR2440_read2.fastq.gz,af147c37be559ae3a8b00a7e821d8fb6,4e3b7df544d02288e0ef0ec2fa1e4a48
JR2441,ESC,KO,firre_induced,180,2,1,short,2019-03,JR2441_ESC_KO_firre_induced_180_rep2,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2441_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2441_read2.fastq.gz,JR2441_read1.fastq.gz,JR2441_read2.fastq.gz,dab027ad4666c7430fc115e79e09f995,b3dea888fe340a21a44e525699ff54f3
JR2442,ESC,KO,control,210,2,1,short,2019-03,JR2442_ESC_KO_control_210_rep2,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2442_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2442_read2.fastq.gz,JR2442_read1.fastq.gz,JR2442_read2.fastq.gz,6f5f57819c2c42b57e3eb1ef48a526ee,0dcb59c0c2075461d40137cb088b6f21
JR2443,ESC,KO,control,0,2,1,short,2019-03,JR2443_ESC_KO_control_0_rep2,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2443_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2443_read2.fastq.gz,JR2443_read1.fastq.gz,JR2443_read2.fastq.gz,16cd74753d02c38021776e4861823521,c2e7228661bb278ccf818cfef6bc6098
JR2444,ESC,KO,control,150,2,1,short,2019-03,JR2444_ESC_KO_control_150_rep2,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2444_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2444_read2.fastq.gz,JR2444_read1.fastq.gz,JR2444_read2.fastq.gz,8669890cae8c1095db8161956dede57a,b2ac2cd6c333c659216c921ecf3376fb
JR2445,ESC,KO,control,120,2,1,short,2019-03,JR2445_ESC_KO_control_120_rep2,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2445_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2445_read2.fastq.gz,JR2445_read1.fastq.gz,JR2445_read2.fastq.gz,368abea3402abbd61f4461a852d369a6,3a35267c64e4227df4a986fe1e215781
JR2446,ESC,KO,control,90,2,1,short,2019-03,JR2446_ESC_KO_control_90_rep2,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2446_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2446_read2.fastq.gz,JR2446_read1.fastq.gz,JR2446_read2.fastq.gz,cdce736ccbbc45ef8fffa340ee334fcb,efcfa6e3e54736a5fdfd0ffee274c70e
JR2447,ESC,KO,control,60,2,1,short,2019-03,JR2447_ESC_KO_control_60_rep2,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2447_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2447_read2.fastq.gz,JR2447_read1.fastq.gz,JR2447_read2.fastq.gz,b8bc7d8b03a1a21ec039487781cfd9fe,221e51a5b88d9e3af3a11f73829acf7e
JR2448,ESC,KO,firre_induced,300,2,1,short,2019-03,JR2448_ESC_KO_firre_induced_300_rep2,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2448_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2448_read2.fastq.gz,JR2448_read1.fastq.gz,JR2448_read2.fastq.gz,354fed44fc7ab5bb5ca2d64470c0d3d2,ca9ba43662dc80817bbc2c50591dd561
JR2449,ESC,KO,firre_induced,210,2,1,short,2019-03,JR2449_ESC_KO_firre_induced_210_rep2,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2449_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2449_read2.fastq.gz,JR2449_read1.fastq.gz,JR2449_read2.fastq.gz,40a2134e5f1af21966bd11f7e787a1dc,4bdf68e9568cdf97fd778dd977b76d93
JR2450,ESC,KO,firre_induced,150,2,1,short,2019-03,JR2450_ESC_KO_firre_induced_150_rep2,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2450_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2450_read2.fastq.gz,JR2450_read1.fastq.gz,JR2450_read2.fastq.gz,5b7cc344129630cf7087434f246fdf04,c9a999694d42b38d5349025601f053ed
JR2451,ESC,KO,firre_induced,270,2,1,short,2019-03,JR2451_ESC_KO_firre_induced_270_rep2,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2451_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2451_read2.fastq.gz,JR2451_read1.fastq.gz,JR2451_read2.fastq.gz,fead2ba6047731b948ab3be4fe7f7f45,d24a488f4abdd8a1ea0819d78ac962e8
JR2452,ESC,KO,firre_induced,330,2,1,short,2019-03,JR2452_ESC_KO_firre_induced_330_rep2,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2452_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2452_read2.fastq.gz,JR2452_read1.fastq.gz,JR2452_read2.fastq.gz,5b0099f0750415bafd849e97b9c0827a,06c83476d9c332745365ce71ea14cbd7
JR2453,ESC,KO,firre_induced,90,2,1,short,2019-03,JR2453_ESC_KO_firre_induced_90_rep2,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2453_read1.fastq.gz,/rinnlab/rinngrp/mism6893/missing_raw_fastqs/JR2453_read2.fastq.gz,JR2453_read1.fastq.gz,JR2453_read2.fastq.gz,f150a786600f0c18561994cd6d609ed1,8c616f979ff06229e19f03fd3ba300f4
