sample_id,cell_type,genotype,firre_ko,contains_itg,firre_induced,timepoint,replicate,sample_name,experiment
JR2727,mESCs,Firre KO,KO,TRUE,FALSE,0h,1,Firre KO 0h-1,long
JR2728,mESCs,Firre KO,KO,TRUE,FALSE,96h,2,Firre KO 96h-2,long
JR2729,mESCs,Firre KO,KO,TRUE,TRUE,96h,3,Firre KOiTg 96h-3,long
JR2730,mESCs,Firre WT,WT,FALSE,FALSE,24h,3,Firre WT 24h-3,long
JR2731,mESCs,Firre WT,WT,FALSE,FALSE,48h,1,Firre WT 48h-1,long
JR2732,mESCs,Firre WT,WT,FALSE,FALSE,24h,2,Firre WT 24h-2,long
JR2733,mESCs,Firre WT,WT,TRUE,TRUE,48h,1,Firre WTiTg 48h-1,long
JR2734,mESCs,Firre WT,WT,TRUE,TRUE,48h,3,Firre WTiTg 48h-3,long
JR2735,mESCs,Firre WT,WT,TRUE,TRUE,24h,1,Firre WTiTg 24h-1,long
JR2736,mESCs,Firre WT,WT,TRUE,TRUE,24h,2,Firre WTiTg 24h-2,long
JR2737,mESCs,Firre WT,WT,FALSE,FALSE,48h,3,Firre WT 48h-3,long
JR2738,mESCs,Firre WT,WT,FALSE,FALSE,48h,2,Firre WT 48h-2,long
JR2739,mESCs,Firre WT,WT,TRUE,TRUE,48h,2,Firre WTiTg 48h-2,long
JR2740,mESCs,Firre WT,WT,TRUE,TRUE,24h,3,Firre WTiTg 24h-3,long
JR2741,mESCs,Firre WT,WT,FALSE,FALSE,24h,1,Firre WT 24h-1,long
JR2742,mESCs,Firre KO,KO,TRUE,TRUE,24h,3,Firre KOiTg 24h-3,long
JR2743,mESCs,Firre KO,KO,TRUE,TRUE,48h,2,Firre KOiTg 48h-2,long
JR2744,mESCs,Firre KO,KO,TRUE,TRUE,48h,3,Firre KOiTg 48h-3,long
JR2745,mESCs,Firre KO,KO,TRUE,FALSE,24h,3,Firre KO 24h-3,long
JR2746,mESCs,Firre KO,KO,TRUE,TRUE,24h,1,Firre KOiTg 24h-1,long
JR2747,mESCs,Firre KO,KO,TRUE,TRUE,48h,1,Firre KOiTg 48h-1,long
JR2748,mESCs,Firre KO,KO,TRUE,TRUE,24h,2,Firre KOiTg 24h-2,long
JR2749,mESCs,Firre KO,KO,TRUE,FALSE,24h,1,Firre KO 24h-1,long
JR2750,mESCs,Firre KO,KO,TRUE,FALSE,48h,1,Firre KO 48h-1,long
JR2751,mESCs,Firre KO,KO,TRUE,FALSE,24h,2,Firre KO 24h-2,long
JR2752,mESCs,Firre KO,KO,TRUE,FALSE,48h,2,Firre KO 48h-2,long
JR2753,mESCs,Firre KO,KO,TRUE,FALSE,48h,3,Firre KO 48h-3,long
JR2754,mESCs,Firre KO,KO,TRUE,TRUE,12h,2,Firre KOiTg 12h-2,long
JR2755,mESCs,Firre WT,WT,TRUE,TRUE,12h,1,Firre WTiTg 12h-1,long
JR2756,mESCs,Firre KO,KO,TRUE,FALSE,12h,1,Firre KO 12h-1,long
JR2757,mESCs,Firre KO,KO,TRUE,TRUE,12h,3,Firre KOiTg 12h-3,long
JR2758,mESCs,Firre WT,WT,FALSE,FALSE,12h,3,Firre WT 12h-3,long
JR2759,mESCs,Firre WT,WT,TRUE,TRUE,12h,3,Firre WTiTg 12h-3,long
JR2760,mESCs,Firre WT,WT,TRUE,TRUE,12h,2,Firre WTiTg 12h-2,long
JR2761,mESCs,Firre KO,KO,TRUE,TRUE,12h,1,Firre KOiTg 12h-1,long
JR2762,mESCs,Firre WT,WT,FALSE,FALSE,12h,1,Firre WT 12h-1,long
JR2763,mESCs,Firre KO,KO,TRUE,FALSE,12h,2,Firre KO 12h-2,long
JR2764,mESCs,Firre KO,KO,TRUE,FALSE,12h,3,Firre KO 12h-3,long
JR2765,mESCs,Firre WT,WT,FALSE,FALSE,12h,2,Firre WT 12h-2,long
